수목해충학 용어 중 수목관리학 기출에 나온 용어 (총 298개)
============================================================
ATP                            | 7회 132번
CODIT                          | 8회 105번
Frankia                        | 7회 110번
PAN                            | 5회 115번
PAN                            | 5회 123번
PAN                            | 7회 120번
PAN                            | 8회 113번
PAN                            | 10회 110번
Pinus                          | 6회 137번
Pinus densiflora               | 6회 137번
Pseudomonas                    | 11회 115번
Rhizobium                      | 7회 110번
glucose                        | 5회 136번
nicotine                       | 5회 135번
urea                           | 6회 131번
urea                           | 10회 115번
개화                             | 10회 106번
개화                             | 11회 108번
경엽                             | 8회 115번
경엽                             | 11회 118번
경쟁                             | 5회 135번
경쟁                             | 9회 119번
고로쇠나무                          | 7회 115번
공급원                            | 5회 140번
공급원                            | 10회 123번
공생                             | 7회 101번
광반                             | 5회 115번
구리                             | 10회 114번
구리                             | 11회 112번
굴참나무                           | 8회 101번
굴참나무                           | 10회 112번
기름                             | 7회 135번
나트륨                            | 8회 111번
나트륨                            | 9회 119번
낙엽                             | 5회 105번
낙엽                             | 5회 108번
낙엽                             | 5회 110번
낙엽                             | 5회 120번
낙엽                             | 7회 108번
낙엽                             | 7회 118번
낙엽                             | 7회 119번
낙엽                             | 7회 120번
낙엽                             | 8회 111번
낙엽                             | 9회 101번
낙엽                             | 9회 104번
낙엽                             | 10회 111번
낙엽                             | 11회 102번
낙엽                             | 11회 104번
낙엽                             | 11회 108번
낙우송                            | 5회 110번
낙우송                            | 7회 116번
낙우송                            | 10회 104번
낙우송                            | 10회 108번
낙우송                            | 11회 101번
니코틴                            | 5회 135번
니코틴                            | 9회 119번
단백질                            | 6회 133번
단백질                            | 7회 132번
단백질                            | 8회 122번
단지                             | 6회 139번
단지                             | 7회 137번
단풍                             | 5회 120번
단풍                             | 5회 125번
단풍                             | 6회 118번
단풍                             | 7회 120번
단풍                             | 8회 105번
대기오염 물질                        | 6회 115번
동물                             | 6회 131번
동물                             | 11회 117번
마그네슘                           | 5회 114번
마그네슘                           | 7회 121번
마그네슘                           | 9회 114번
마그네슘                           | 11회 113번
망간                             | 5회 124번
망간                             | 7회 121번
망간                             | 10회 114번
망간                             | 11회 112번
모세관                            | 5회 109번
몰리브덴                           | 5회 114번
무궁화                            | 10회 106번
미세먼지 흡착                        | 8회 102번
미토콘드리아                         | 7회 132번
버드나무                           | 7회 113번
버드나무                           | 8회 101번
버드나무                           | 10회 108번
보리수나무                          | 11회 101번
보호층                            | 5회 104번
부식                             | 6회 116번
부식                             | 6회 130번
부식                             | 8회 114번
붕소                             | 5회 109번
붕소                             | 5회 114번
붕소                             | 11회 113번
산림토양                           | 11회 102번
산성비                            | 6회 116번
산성비                            | 8회 114번
산성화                            | 5회 124번
산성화                            | 6회 116번
산성화                            | 8회 114번
산화                             | 5회 115번
산화                             | 5회 123번
산화                             | 5회 136번
산화                             | 6회 115번
산화                             | 6회 116번
산화                             | 7회 106번
산화                             | 7회 120번
산화                             | 8회 114번
산화                             | 10회 110번
산화                             | 10회 122번
삼투퍼텐셜                          | 5회 124번
생물                             | 5회 116번
생물                             | 5회 132번
생물                             | 5회 136번
생물                             | 5회 138번
생물                             | 6회 124번
생물                             | 6회 130번
생물                             | 7회 110번
생물                             | 7회 111번
생물                             | 8회 114번
생물                             | 8회 118번
생물                             | 9회 121번
생물                             | 11회 115번
서리                             | 5회 117번
서리                             | 8회 108번
성숙                             | 7회 120번
성숙                             | 8회 113번
성숙                             | 9회 103번
성숙                             | 9회 113번
성숙                             | 10회 109번
성숙                             | 10회 110번
성숙                             | 11회 113번
세포                             | 5회 121번
세포                             | 6회 115번
세포                             | 6회 132번
세포                             | 7회 101번
세포                             | 7회 123번
세포                             | 7회 127번
세포                             | 8회 105번
세포                             | 9회 122번
세포                             | 10회 105번
셀룰로오스                          | 5회 106번
소나무류                           | 6회 139번
소나무류                           | 8회 123번
소나무류                           | 10회 123번
소나무류                           | 11회 123번
송이버섯                           | 7회 101번
수분                             | 5회 109번
수분                             | 5회 120번
수분                             | 5회 121번
수분                             | 5회 136번
수분                             | 7회 116번
수분                             | 7회 123번
수분                             | 7회 126번
수분                             | 8회 109번
수분                             | 8회 111번
수분                             | 8회 112번
수분                             | 8회 119번
수분                             | 9회 113번
수분                             | 10회 113번
수분부족                           | 5회 120번
수분퍼텐셜                          | 8회 111번
수선                             | 6회 101번
수선                             | 7회 102번
수술                             | 5회 107번
수술                             | 6회 101번
수술                             | 9회 103번
수액                             | 7회 109번
수액                             | 10회 111번
스테롤                            | 7회 127번
스테롤                            | 8회 122번
스테롤                            | 9회 122번
스테롤                            | 10회 119번
식양토                            | 6회 130번
심근성                            | 6회 111번
아미노산                           | 11회 118번
아연                             | 5회 114번
아연                             | 5회 124번
아연                             | 7회 121번
아연                             | 10회 114번
아연                             | 11회 112번
알루미늄                           | 6회 116번
알루미늄                           | 8회 114번
알루미늄                           | 10회 114번
야자나무류                          | 7회 108번
에너지                            | 8회 102번
에너지                            | 9회 108번
에틸렌                            | 7회 111번
엽량                             | 9회 103번
엽록체                            | 10회 110번
엽육조직                           | 9회 112번
엽육조직                           | 9회 113번
온도                             | 5회 109번
온도                             | 5회 121번
온도                             | 6회 109번
온도                             | 11회 110번
유관                             | 5회 119번
유관                             | 6회 140번
이산화탄소                          | 7회 106번
인지질                            | 6회 132번
인지질                            | 7회 127번
임목                             | 6회 120번
자엽                             | 7회 128번
장력                             | 6회 126번
장지                             | 5회 128번
장지                             | 6회 102번
전자전달계                          | 7회 123번
정해                             | 10회 106번
정해                             | 10회 116번
종자                             | 5회 110번
종자                             | 5회 140번
종자                             | 9회 107번
종자                             | 10회 123번
줄기                             | 6회 120번
줄기                             | 7회 103번
줄기                             | 7회 117번
줄기                             | 8회 104번
줄기                             | 8회 112번
줄기                             | 9회 106번
줄기                             | 9회 109번
줄기                             | 9회 112번
줄기                             | 10회 102번
