                                   Notebooks                                   
+-----------------------------------------------------------------------------+
| ID                        | Title                     | Owner  | Created    |
|---------------------------+---------------------------+--------+------------|
| d014605b-fa83-4061-bc62-… | 수목생리학                | Owner  | 2026-01-28 |
| 907dda7d-b1df-461e-87df-… | 식물병리학(나무의사 정리) | Shared | 2026-01-27 |
| 452834bc-2e81-4ada-9a23-… | 수목해충학                | Owner  | 2026-01-26 |
| ffd38c4e-4456-4bb8-be6b-… | 최신 농약학: 원리, 역사,  | Owner  | 2025-12-18 |
|                           | 안전성, 활용              |        |            |
| a48f467e-c1f8-4413-bf30-… | 수목생리학(File Store)    | Owner  | 2025-12-14 |
| bea7049d-87c9-462f-bdd2-… | 수목해충학                | Owner  | 2025-12-14 |
| 5c96c550-8115-4c50-b265-… | 수목병리학: 병해와 관리   | Owner  | 2025-12-13 |
| c328db9b-73e3-427a-b2c9-… |                           | Owner  | 2025-12-13 |
| d0c4535d-8076-4dfd-9e85-… | 서울지회-홍릉수목원       | Owner  | 2025-12-01 |
|                           | 방문(25.11.29)            |        |            |
| e4ddc6f8-ada2-4aaa-b9dc-… | Earnings Reports For Top  | Shared | 2025-11-30 |
|                           | 50 Corporations           |        |            |
| a09e40ad-d41f-43af-a3ca-… | How can scientists know   | Shared | 2025-11-30 |
|                           | what's in your genome?    |        |            |
| a7d98644-8748-4875-9013-… | Three Kingdoms Era        | Owner  | 2025-11-29 |
|                           | Historical Dynamics       |        |            |
| 0a002515-e18d-4fab-b9e0-… | 슬랙을 활용한 AI 자동화   | Owner  | 2025-11-28 |
|                           | 비서 구축                 |        |            |
| d71a686a-17f3-4dfb-9177-… | MP4ToPPT                  | Owner  | 2025-11-27 |
| 2aaeba1c-02c4-408a-9d02-… | 트리닥터                  | Owner  | 2025-11-27 |
|                           | 웨비나(농약학-생장조절제… |        |            |
| bd2b424c-5148-472f-b0b3-… | Cursor AI를 이용한 게시 … | Owner  | 2025-11-26 |
|                           | 개발                      |        |            |
| 1533a60e-1e34-47d8-b56c-… | 나무 식물 관찰 및 식별    | Owner  | 2025-11-25 |
|                           | 가이드                    |        |            |
| 801b4af5-ea2a-4586-aae3-… | 국립수목원 수목 식별 및   | Owner  | 2025-11-25 |
|                           | 학습                      |        |            |
| a7beaefe-4869-46fa-91dc-… | 수목용 농약의 이해와 처방 | Owner  | 2025-11-25 |
| b5fa60bb-0da6-4462-a89c-… | 나무의사 설계강의         | Owner  | 2025-11-24 |
| 505ee4b1-ad05-4673-a06b-… | Parenting Advice for the  | Shared | 2025-11-24 |
|                           | Digital Age               |        |            |
| 31c20c44-8c94-4f81-a2b8-… | How do scientists link    | Shared | 2025-11-24 |
|                           | genetics to health?       |        |            |
| 750a23df-fd98-4954-b9c4-… | How To Build A Life, from | Shared | 2025-11-24 |
|                           | The Atlantic              |        |            |
| 5881d15d-7b82-4002-8613-… | The World Ahead 2025      | Shared | 2025-11-24 |
| 63d9dfe7-3537-43a7-93ad-… | Absorption Pests, Wood    | Owner  | 2025-11-13 |
|                           | Borers, and Gall-Formers  |        |            |
| 18200e9c-87c9-43d6-a21d-… | 충북대학교 수목진단센터   | Owner  | 2025-10-29 |
|                           | 워크숍                    |        |            |
| 7dbc4d80-0898-4b26-8c4f-… |                           | Owner  | 2025-10-28 |
| c5d35b81-1545-4c1b-8a9a-… | 수목 식별과 특징 학습     | Owner  | 2025-10-25 |
| 1fd30978-98cc-4760-8a07-… | 홍릉수목원: 힐링의 숲,    | Owner  | 2025-10-13 |
|                           | 명성황후의 터             |        |            |
| bce595d7-46b8-4a65-801e-… | 어린이대공원 수목 관찰과  | Owner  | 2025-10-11 |
|                           | 병해충 진단               |        |            |
| c31df301-8e18-4315-a930-… | 경희궁 주변 나무 해충과   | Owner  | 2025-09-26 |
|                           | 병해 진단                 |        |            |
| 805ac449-ecf1-49ac-8e6b-… |                           | Owner  | 2025-09-26 |
| 9652e27d-c6ae-41a2-89f1-… | 농약학 2(45분)            | Owner  | 2025-09-24 |
| 0d4d4beb-ec09-41e3-b65c-… | 농약학1(캡션-대화생성)    | Owner  | 2025-09-24 |
| 9b0eda59-5878-45ee-a6b7-… | 농약학1(M4a)음성파일-대 … | Owner  | 2025-09-24 |
| 91f6991b-85a6-49e1-a931-… | 곰팡이의 정의와 역할      | Owner  | 2025-09-24 |
| d0249564-4d54-4c27-a88d-… | 잡초방제학(2강. 잡초의    | Owner  | 2025-09-24 |
|                           | 정의)                     |        |            |
| fea0e21a-6458-4425-b17d-… | 제초제의 선택성과         | Owner  | 2025-09-24 |
|                           | 작용기작                  |        |            |
| 751d8c75-e631-4523-a767-… |                           | Owner  | 2025-09-23 |
+-----------------------------------------------------------------------------+
