수목병리학 용어 중 수목관리학 기출에 나온 용어 (총 138개)
============================================================
갈색부후                           | 5회 106번
갈색부후균                          | 5회 106번
감염목                            | 6회 139번
감염목                            | 8회 123번
곰팡이                            | 5회 106번
괴저                             | 5회 124번
구획화                            | 8회 105번
구획화                            | 9회 102번
구획화                            | 11회 106번
궤양                             | 9회 109번
균사                             | 8회 117번
기주                             | 7회 101번
기주                             | 9회 111번
나무주사                           | 5회 140번
나무주사                           | 6회 125번
나무주사                           | 7회 136번
나무주사                           | 7회 137번
나무주사                           | 8회 123번
나무주사                           | 9회 116번
나무주사                           | 9회 121번
나무주사                           | 9회 125번
낙엽송                            | 7회 118번
낙엽송                            | 7회 120번
노린재목                           | 6회 131번
다량원소                           | 5회 109번
대기오염물질                         | 5회 115번
대기오염물질                         | 5회 123번
대기오염물질                         | 7회 120번
대기오염물질                         | 8회 102번
대기오염물질                         | 10회 110번
디페노코나졸                         | 6회 132번
디페노코나졸                         | 7회 127번
리그닌                            | 5회 106번
리기다소나무                         | 8회 112번
리기다소나무                         | 9회 122번
마름병                            | 6회 133번
마름병                            | 7회 109번
마름병                            | 9회 109번
마름병                            | 9회 122번
매개충                            | 7회 137번
매개충                            | 9회 125번
매개충                            | 11회 124번
목재부후                           | 7회 111번
목질부                            | 5회 104번
목질부                            | 5회 106번
묘포                             | 6회 134번
묘포                             | 7회 117번
배양                             | 6회 123번
버섯                             | 7회 101번
버섯                             | 7회 110번
벚나무 갈색무늬구멍병                    | 6회 132번
병원균                            | 11회 119번
병징                             | 6회 139번
부후부                            | 5회 107번
비이온계 계면활성제                     | 5회 120번
뿌리썩음                           | 7회 104번
산성 토양                          | 7회 121번
상렬                             | 7회 117번
상처                             | 5회 102번
상처                             | 5회 106번
상처                             | 6회 101번
상처                             | 7회 105번
상처                             | 7회 109번
상처                             | 7회 111번
상처                             | 7회 114번
상처                             | 9회 101번
상처                             | 9회 109번
상처                             | 10회 101번
상처                             | 10회 105번
상처                             | 11회 106번
세근                             | 5회 108번
세근                             | 7회 116번
소나무재선충병                        | 5회 140번
소나무재선충병                        | 6회 137번
소나무재선충병                        | 6회 139번
소나무재선충병                        | 7회 137번
소나무재선충병                        | 8회 123번
소나무재선충병                        | 9회 124번
소나무재선충병                        | 9회 125번
소나무재선충병                        | 10회 123번
소나무재선충병                        | 11회 123번
소나무재선충병                        | 11회 124번
수지                             | 8회 112번
수지                             | 9회 112번
스트레스                           | 7회 105번
아까시나무                          | 6회 114번
아까시나무                          | 7회 115번
아까시나무                          | 10회 108번
아까시나무                          | 11회 103번
아밀라리아뿌리썩음병                     | 7회 104번
옥시테트라사이클린                      | 6회 133번
왕벚나무                           | 10회 110번
왕벚나무                           | 11회 116번
월동                             | 7회 106번
월동                             | 9회 105번
월동                             | 9회 107번
월동                             | 11회 108번
유합조직                           | 5회 106번
유합조직                           | 10회 101번
이층                             | 5회 104번
잎마름                            | 6회 133번
장해                             | 7회 120번
장해                             | 8회 113번
장해                             | 8회 118번
적아                             | 5회 112번
접종                             | 7회 111번
제독                             | 5회 122번
제설제                            | 5회 124번
증발억제제                          | 5회 120번
진균                             | 6회 132번
진균                             | 6회 133번
진딧물                            | 11회 116번
키틴                             | 5회 129번
키틴                             | 6회 131번
키틴                             | 7회 127번
키틴                             | 9회 119번
키틴                             | 10회 120번
키틴                             | 11회 117번
토양 산성화                         | 8회 114번
토양경화                           | 10회 113번
포자                             | 7회 125번
포자                             | 7회 134번
포자                             | 8회 117번
할렬                             | 9회 106번
향나무                            | 6회 114번
향나무                            | 7회 115번
향나무                            | 10회 106번
향나무                            | 11회 101번
혼식                             | 9회 105번
황벽나무                           | 10회 112번
황화                             | 5회 121번
황화                             | 8회 111번
황화                             | 10회 109번
황화                             | 10회 110번
황화                             | 11회 111번
휴면                             | 5회 108번
휴면                             | 7회 109번
휴면                             | 9회 107번
