수목생리학 용어 중 수목관리학 기출에 나온 용어 (총 177개)
============================================================
GABA                           | 5회 135번
acetylcholine                  | 5회 135번
가해                             | 6회 131번
갈색날개매미충                        | 7회 138번
경엽처리                           | 8회 115번
경엽처리                           | 11회 118번
경제적 피해허용수준                     | 11회 120번
경화                             | 9회 105번
경화                             | 10회 113번
고사목                            | 6회 109번
고사목                            | 7회 137번
고사목                            | 8회 123번
고사목                            | 11회 123번
기관                             | 6회 140번
기관                             | 8회 102번
기관                             | 10회 120번
기생                             | 6회 123번
기생                             | 9회 111번
껍질깍지벌레                         | 6회 125번
껍질깍지벌레                         | 9회 125번
꿀벌                             | 9회 121번
꿀벌                             | 11회 116번
나비목                            | 6회 131번
나비목                            | 11회 115번
날개                             | 5회 137번
날개                             | 7회 138번
매몰                             | 7회 114번
매몰                             | 8회 106번
매미                             | 6회 136번
매미                             | 7회 138번
명나방                            | 6회 123번
모니터링                           | 7회 102번
모니터링                           | 8회 103번
미국흰불나방                         | 7회 138번
미국흰불나방                         | 9회 119번
밀도                             | 5회 101번
밀도                             | 6회 106번
밀도                             | 7회 101번
밀도                             | 7회 138번
밀도                             | 10회 113번
밀도                             | 11회 102번
밀베멕틴                           | 7회 123번
반점                             | 5회 123번
반점                             | 10회 110번
방제                             | 5회 132번
방제                             | 5회 137번
방제                             | 5회 140번
방제                             | 6회 129번
방제                             | 6회 131번
방제                             | 6회 132번
방제                             | 6회 133번
방제                             | 6회 134번
방제                             | 6회 136번
방제                             | 6회 139번
방제                             | 7회 129번
방제                             | 7회 133번
방제                             | 7회 135번
방제                             | 7회 136번
방제                             | 7회 137번
방제                             | 7회 138번
방제                             | 8회 117번
방제                             | 8회 123번
방제                             | 8회 124번
방제                             | 9회 107번
방제                             | 9회 119번
방제                             | 9회 122번
방제                             | 9회 124번
방제                             | 9회 125번
방제                             | 10회 123번
방제                             | 11회 116번
방제                             | 11회 117번
방제                             | 11회 120번
방제                             | 11회 121번
방제                             | 11회 122번
방제                             | 11회 123번
방제                             | 11회 124번
방제특별법                          | 9회 124번
방패벌레                           | 11회 121번
변색                             | 5회 117번
변색                             | 5회 123번
산림보호법                          | 5회 139번
산림보호법                          | 6회 138번
산림보호법                          | 7회 139번
산림보호법                          | 7회 140번
산림보호법                          | 8회 125번
산림보호법                          | 10회 124번
산림보호법                          | 10회 125번
산림보호법                          | 11회 125번
선녀벌레                           | 7회 138번
성충                             | 7회 138번
성충                             | 11회 117번
성페로몬                           | 6회 123번
수관살포                           | 11회 121번
신초                             | 5회 112번
아세틸콜린                          | 5회 135번
아세틸콜린                          | 6회 135번
아세틸콜린                          | 7회 123번
아세틸콜린                          | 9회 119번
아세틸콜린                          | 10회 120번
약제 저항성                         | 7회 124번
약제 저항성                         | 11회 120번
약충                             | 6회 125번
염소이온                           | 7회 123번
염소이온                           | 9회 121번
예찰                             | 5회 132번
예찰                             | 5회 140번
예찰                             | 6회 136번
예찰                             | 7회 136번
예찰                             | 9회 125번
예찰                             | 11회 123번
예찰                             | 11회 124번
예찰조사                           | 6회 136번
예찰조사                           | 7회 136번
왁스층                            | 6회 116번
왁스층                            | 8회 114번
용화                             | 5회 129번
월동장소                           | 9회 107번
유인                             | 5회 126번
유충                             | 6회 131번
유충                             | 7회 138번
유충                             | 11회 115번
유충                             | 11회 117번
의사                             | 5회 139번
의사                             | 6회 138번
의사                             | 7회 139번
의사                             | 8회 125번
의사                             | 10회 125번
의사                             | 11회 125번
주성                             | 5회 106번
중장                             | 7회 123번
중장                             | 10회 102번
중장                             | 11회 115번
차단                             | 5회 135번
차단                             | 7회 123번
차단                             | 7회 136번
차단                             | 8회 107번
차단                             | 11회 103번
차단                             | 11회 116번
충방                             | 11회 117번
친환경 방제                         | 6회 136번
탈피                             | 5회 129번
탈피                             | 6회 131번
피해도                            | 7회 119번
피해도                            | 7회 138번
피해도                            | 9회 125번
학명                             | 5회 128번
학명                             | 9회 115번
학명                             | 10회 115번
해충                             | 5회 132번
해충                             | 5회 137번
해충                             | 5회 140번
해충                             | 6회 128번
해충                             | 6회 136번
해충                             | 6회 137번
해충                             | 6회 140번
해충                             | 7회 106번
해충                             | 7회 123번
해충                             | 7회 129번
해충                             | 7회 133번
해충                             | 7회 136번
해충                             | 7회 138번
해충                             | 8회 103번
해충                             | 8회 115번
해충                             | 8회 124번
해충                             | 9회 107번
해충                             | 9회 125번
해충                             | 11회 117번
해충                             | 11회 120번
해충                             | 11회 124번
혹진딧물                           | 11회 116번
화기                             | 10회 106번
후약충                            | 6회 125번
훈증                             | 7회 126번
훈증                             | 9회 117번
흡즙                             | 8회 115번
흰불나방                           | 7회 138번
흰불나방                           | 9회 119번
