         908747 function calls (853745 primitive calls) in 1.029 seconds

   Ordered by: cumulative time
   List reduced from 579 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.538    0.538    1.029    1.029 C:\Users\gocom\Documents\Antigravity\Django_BaseCamp\03_1_model\study\views.py:71(detail)
        1    0.000    0.000    0.461    0.461 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\shortcuts.py:18(render)
        1    0.000    0.000    0.455    0.455 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\loader.py:52(render_to_string)
        1    0.000    0.000    0.455    0.455 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\backends\django.py:102(render)
        1    0.000    0.000    0.455    0.455 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:165(render)
      2/1    0.000    0.000    0.455    0.455 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:162(_render)
   5048/1    0.021    0.000    0.455    0.455 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:1015(render)
  13945/1    0.006    0.000    0.447    0.447 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:969(render_annotated)
        1    0.000    0.000    0.447    0.447 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\loader_tags.py:133(render)
        3    0.000    0.000    0.440    0.147 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\loader_tags.py:51(render)
    101/1    0.017    0.000    0.431    0.431 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\defaulttags.py:188(render)
 5839/841    0.005    0.000    0.354    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\defaulttags.py:316(render)
     2602    0.011    0.000    0.226    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\defaulttags.py:463(render)
     2602    0.016    0.000    0.180    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\urls\base.py:28(reverse)
78874/48151    0.025    0.000    0.122    0.000 {built-in method builtins.getattr}
     5397    0.004    0.000    0.105    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:1073(render)
    13993    0.020    0.000    0.095    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\asgiref\local.py:119(__getattr__)
    23745    0.012    0.000    0.093    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:719(resolve)
     8786    0.003    0.000    0.080    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\translation\__init__.py:210(get_language)
     8786    0.005    0.000    0.077    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\translation\trans_real.py:324(get_language)
     2602    0.016    0.000    0.068    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\urls\resolvers.py:744(_reverse_with_prefix)
    21140    0.007    0.000    0.067    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:850(resolve)
    15038    0.028    0.000    0.060    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:874(_resolve_lookup)
     5397    0.007    0.000    0.055    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\base.py:1048(render_value_in_context)
     9502    0.011    0.000    0.046    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\functional.py:224(wrapper)
     8001    0.006    0.000    0.038    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\html.py:114(conditional_escape)
     6102    0.002    0.000    0.037    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\smartif.py:59(eval)
    13045    0.005    0.000    0.037    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\defaulttags.py:885(eval)
     2602    0.001    0.000    0.025    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\urls\resolvers.py:633(app_dict)
     2602    0.001    0.000    0.024    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\urls\resolvers.py:619(reverse_dict)
     2602    0.001    0.000    0.023    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\urls\resolvers.py:626(namespace_dict)
     5397    0.002    0.000    0.023    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\formats.py:193(localize)
     2602    0.001    0.000    0.023    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\urls\base.py:161(get_urlconf)
    14000    0.008    0.000    0.021    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\contextlib.py:145(__exit__)
      980    0.002    0.000    0.020    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\formats.py:172(number_format)
     3505    0.002    0.000    0.019    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\smartif.py:108(<lambda>)
     5444    0.018    0.000    0.018    0.000 {method 'join' of 'str' objects}
    13990    0.015    0.000    0.018    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\asgiref\local.py:16(__getattr__)
     2602    0.001    0.000    0.017    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\urls\base.py:129(get_script_prefix)
    14000    0.006    0.000    0.016    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\contextlib.py:303(helper)
     2597    0.002    0.000    0.016    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\smartif.py:107(<lambda>)
     5761    0.004    0.000    0.014    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\html.py:49(escape)
    14000    0.005    0.000    0.013    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\contextlib.py:136(__enter__)
        2    0.000    0.000    0.013    0.006 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\query.py:371(__iter__)
        3    0.000    0.000    0.013    0.004 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\query.py:1952(_fetch_all)
      143    0.000    0.000    0.013    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\query.py:87(__iter__)
9620/9616    0.005    0.000    0.012    0.000 {built-in method builtins.any}
     1400    0.002    0.000    0.011    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\defaultfilters.py:44(_dec)
     2744    0.003    0.000    0.011    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:875(quote)
    12953    0.009    0.000    0.011    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\functional.py:276(__getattribute__)
    16634    0.005    0.000    0.011    0.000 {built-in method builtins.next}
    27986    0.010    0.000    0.010    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\asgiref\local.py:81(_lock_storage)
     5761    0.006    0.000    0.010    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\html\__init__.py:12(escape)
    11388    0.005    0.000    0.010    0.000 {method 'throw' of 'generator' objects}
    14000    0.008    0.000    0.010    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\contextlib.py:108(__init__)
75049/75047    0.009    0.000    0.010    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.008    0.001 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\utils.py:96(inner)
        2    0.000    0.000    0.008    0.004 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\sql\compiler.py:1593(execute_sql)
     2744    0.004    0.000    0.007    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:951(quote_from_bytes)
     5491    0.007    0.000    0.007    0.000 {method 'encode' of 'str' objects}
      140    0.000    0.000    0.007    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\fields\files.py:67(url)
    48516    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
     2602    0.002    0.000    0.006    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:174(search)
    19004    0.005    0.000    0.006    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\functional.py:226(<genexpr>)
      142    0.000    0.000    0.006    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\files\storage\filesystem.py:225(url)
     3601    0.006    0.000    0.006    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\safestring.py:64(mark_safe)
    15138    0.006    0.000    0.006    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\context.py:83(__getitem__)
        1    0.000    0.000    0.006    0.006 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\http\response.py:374(__init__)
        1    0.000    0.000    0.006    0.006 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\http\response.py:396(content)
        1    0.000    0.000    0.006    0.006 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\http\response.py:306(make_bytes)
    31497    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      4/3    0.000    0.000    0.006    0.002 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\manager.py:85(manager_method)
      980    0.001    0.000    0.006    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\numberformat.py:7(format)
    32551    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    0.005    0.001 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\sql\compiler.py:2165(cursor_iter)
        5    0.000    0.000    0.005    0.001 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\sql\compiler.py:2171(<lambda>)
        5    0.005    0.001    0.005    0.001 {method 'fetchmany' of 'sqlite3.Cursor' objects}
      142    0.001    0.000    0.005    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:559(urljoin)
        1    0.000    0.000    0.005    0.005 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\query.py:649(create)
